epoch,acc,loss
epoch,acc,loss
epoch,acc,loss
epoch,acc,loss
epoch,acc,loss
1,0.9399166666666666,0.008023331873118877
epoch,acc,loss
epoch,acc,loss
1,0.9402666666666667,0.012240310199558735
epoch,acc,loss
1,0.9375166666666667,0.025601640343666077
2,0.9853333333333333,0.018964098766446114
3,0.9900833333333334,0.011548208072781563
4,0.99275,0.04446330666542053
5,0.9940000000000001,0.01590363122522831
6,0.9956166666666667,0.001069309888407588
7,0.9970166666666667,0.00034813728416338563
8,0.9979166666666667,0.009726809337735176
9,0.9976999999999999,0.0015199471963569522
10,0.9983666666666667,0.00039172882679849863
epoch,acc,loss
1,0.9462333333333334,0.05605360493063927
epoch,acc,loss
1,0.93805,0.012167689390480518
epoch,acc,loss
1,0.9388,0.07672088593244553
epoch,acc,loss
epoch,acc,loss
epoch,acc,loss
1,0.9430333333333333,0.031169289723038673
2,0.9858833333333333,0.0027209569234400988
epoch,acc,loss
1,0.9401666666666667,0.007594891358166933
2,0.9866333333333333,0.008589043281972408
epoch,acc,loss
1,0.9366833333333333,0.014822679571807384
2,0.9852,0.13484808802604675
epoch,acc,loss
1,0.9428666666666666,0.02815091982483864
epoch,acc,loss
1,0.93855,0.007646656129509211
epoch,acc,loss
1,0.9399500000000001,0.01652447320520878
epoch,acc,loss
1,0.94075,0.028100987896323204
